tracker,n,rms_gospa_mean,rms_gospa_ci95,rms_localization_mean,rms_localization_ci95,rms_missed_mean,rms_missed_ci95,rms_false_mean,rms_false_ci95,mean_cardinality_error_mean,mean_cardinality_error_ci95,final_birth_atoms_mean,final_birth_atoms_ci95,spurious_birth_atoms_mean,spurious_birth_atoms_ci95,birth_region_error_mean,birth_region_error_ci95,runtime_seconds_mean,runtime_seconds_ci95
fixed_broad_birth,100,5.008732359517541,0.05143656820799808,0.8784296383949021,0.027408489154251547,3.26585429210178,0.06059161458593667,3.6773390904035637,0.05618248160574085,0.4220833333333333,0.008870891028068957,0.0,0.0,0.0,0.0,nan,nan,0.1236040784791112,0.0033951781725314067
measurement_driven_birth,100,4.840678408621229,0.050408069314618,0.754991002519062,0.014954483789810069,4.067761175665945,0.05512798136132178,2.4988877971912977,0.045107440707315025,0.4305208333333333,0.00867689529901234,0.0,0.0,0.0,0.0,nan,nan,0.1340775673929602,0.00364390838943683
dp_immediate,100,6.678834772229257,0.19961860878363868,0.6848862089010265,0.03656186313112152,6.26456511152941,0.23575264624977893,2.0766834289215645,0.07384031445901018,0.7940625,0.04646741254272833,11.69,0.3047835171449276,5.12,0.3191925570636767,5.6461937668337665,0.6161984445519939,0.16443695224355906,0.0050229037272335395
dp_delayed_append,100,4.638864598280709,0.08441384040244657,0.8865188468687077,0.02471409172415493,3.5838553592772615,0.10633624812204265,2.7771771277506376,0.04531232932989987,0.3780208333333334,0.01414893584291103,16.87,0.3292165932217349,0.0,0.0,0.7456578805964811,0.07507264897361163,0.17097146031446755,0.004578350099281829
dp_delayed_recluster,100,4.492514044916265,0.06828449835461468,0.8532057890873986,0.021921757899619983,3.3866563944553354,0.08631933523552306,2.801418149638606,0.045391823251299486,0.3560416666666667,0.011066777684679039,6.54,0.3324596647517842,0.16,0.07740377147390066,1.3657669958317817,0.08925663334141096,0.1270719199255109,0.0037386441124169943
oracle_birth,100,3.8538208307113586,0.04903779673314376,0.713850532467485,0.011283852147077477,2.9660207122397133,0.061841018380412616,2.3372540302716454,0.040587023269408266,0.27593749999999995,0.007435290653563865,2.0,0.0,0.0,0.0,0.0,0.0,0.061312614008784294,0.0016343658979294882
pmbm_broad,100,4.7861541522888,0.044677622624229606,0.76247758159755,0.017114228795153254,3.9424067568763004,0.04677664949850737,2.5893269204541003,0.050691039920352884,0.41843749999995006,0.00787829406414756,nan,nan,nan,nan,nan,nan,151.64086453672002,3.3504411510384364
pmbm_oracle,100,3.2956185179823,0.05145003270623124,0.7635714677829002,0.017325529692806922,1.3174745594877302,0.09614501701463332,2.8785368497061,0.05522992318285813,0.20177083333333,0.006322244232162262,nan,nan,nan,nan,nan,nan,4.3216270875936,0.11560343871694143
