seed,tracker,scans,total_births,total_confirmed_births,rms_gospa,rms_localization,rms_missed,rms_false,early_rms_gospa,late_rms_gospa,mean_cardinality_error,mean_false_targets,mean_missed_targets,final_birth_atoms,recurrent_birth_atoms,spurious_birth_atoms,birth_region_error,runtime_seconds
3,dp_delayed_append,96,99,16,4.036109534236386,0.8155857847914354,2.7003086243366083,2.886751345948129,3.809469117444546,4.144785010124038,0.3125,0.16666666666666666,0.14583333333333334,16,0,0,0.2409802062214094,0.19650622690096498
3,dp_delayed_recluster,96,99,16,3.900643847266653,0.79478870769901,2.6020824993326657,2.7950849718747373,3.809469117444546,3.945441186540097,0.2916666666666667,0.15625,0.13541666666666666,6,2,0,0.6250129852956987,0.14774158922955394
3,oracle_birth,96,23,0,3.4524898681773277,0.6792296787786665,2.5,2.282177322938192,3.353975128606491,3.500707764602066,0.22916666666666666,0.10416666666666667,0.125,2,2,0,0.0,0.07603080477565527
4,fixed_broad_birth,96,247,0,5.0940108755692695,0.9741390046692511,3.0618621784789726,3.952847075210474,5.554191029042863,4.847566524254916,0.4375,0.3125,0.1875,0,0,0,nan,0.17969031585380435
4,measurement_driven_birth,96,594,0,4.972485074497003,0.8759420544545913,4.14578098794425,2.6020824993326657,4.918581150730508,4.999219084615364,0.4583333333333333,0.13541666666666666,0.34375,0,0,0,nan,0.17668459843844175
4,dp_immediate,96,37,0,6.992033024203795,0.6715845527976805,6.73145600891813,1.7677669529663689,6.416369842449897,7.262774107721128,0.84375,0.0625,0.90625,11,8,7,8.16204444783285,0.20377146499231458
4,dp_delayed_append,96,81,18,4.380797030921543,0.9809260723746386,3.1457643480294792,2.886751345948129,4.950708444585144,4.065995190301284,0.3020833333333333,0.16666666666666666,0.19791666666666666,18,0,0,1.4686090645042356,0.24297220399603248
4,dp_delayed_recluster,96,80,17,4.311918419238519,0.9403760528826088,3.0618621784789726,2.886751345948129,4.950708444585144,3.954011081118676,0.3125,0.16666666666666666,0.1875,7,2,0,1.9505858919209147,0.16921076411381364
4,oracle_birth,96,21,0,3.830023527079661,0.7788325994613542,2.9755951785595207,2.282177322938192,3.8392102372344867,3.825421898841036,0.28125,0.10416666666666667,0.17708333333333334,2,2,0,0.0,0.07310254499316216
5,fixed_broad_birth,96,221,0,5.068934866257811,0.8331270481529749,3.38501600193165,3.679900360969936,4.027231071511504,5.5165075877653145,0.3958333333333333,0.2708333333333333,0.22916666666666666,0,0,0,nan,0.14022201532498002
5,measurement_driven_birth,96,524,0,5.010187868572182,0.7891868040718887,4.269562819149833,2.5,4.214673578045237,5.363882645327495,0.46875,0.125,0.3645833333333333,0,0,0,nan,0.1490641157142818
5,dp_immediate,96,29,0,8.845759659580242,0.34994850343611733,8.720187306856813,1.4433756729740645,8.483395007615716,9.021485493252547,1.4791666666666667,0.041666666666666664,1.5208333333333333,12,6,6,8.123247237732645,0.19281122693791986
5,dp_delayed_append,96,86,17,4.816929018268966,0.8983161101239858,3.8188130791298667,2.7950849718747373,4.029133303092339,5.165970399016873,0.40625,0.15625,0.2916666666666667,17,0,0,1.1562672733200416,0.19627963425591588
5,dp_delayed_recluster,96,91,15,4.70735243658461,0.8972180869512104,3.608439182435161,2.886751345948129,4.029133303092339,5.012164488151271,0.3854166666666667,0.16666666666666666,0.2604166666666667,5,2,0,2.20006624146657,0.1348394090309739
5,oracle_birth,96,21,0,4.208252868480669,0.7224210718658302,3.227486121839514,2.6020824993326657,3.6012604056691275,4.481021094894955,0.3229166666666667,0.13541666666666666,0.20833333333333334,2,2,0,0.0,0.07686476409435272
6,fixed_broad_birth,96,219,0,4.345608349454514,0.8094104398771461,2.9755951785595207,3.0618621784789726,4.586305712622475,4.2201146720742555,0.34375,0.1875,0.17708333333333334,0,0,0,nan,0.1511702062562108
6,measurement_driven_birth,96,544,0,4.515661129948919,1.0584715901705721,3.679900360969936,2.3935677693908453,4.4096129165479185,4.567762047644799,0.3854166666666667,0.11458333333333333,0.2708333333333333,0,0,0,nan,0.15755855105817318
6,dp_immediate,96,35,0,3.90431946814509,0.8126359430910134,2.886751345948129,2.5,4.0477940920163675,3.8305674851546248,0.2916666666666667,0.125,0.16666666666666666,11,8,5,0.424559482821825,0.19449764303863049
6,dp_delayed_append,96,92,15,4.69742056116846,0.8435598744733813,3.886407938787006,2.5,4.2161650514842455,4.920428438871329,0.40625,0.125,0.3020833333333333,15,0,0,0.6717831716647649,0.19112428976222873
6,dp_delayed_recluster,96,91,15,4.281879235133671,0.7913004808134328,3.227486121839514,2.7003086243366083,4.2161650514842455,4.314360996222359,0.3333333333333333,0.14583333333333334,0.20833333333333334,5,2,0,1.4995542036033123,0.1423890572041273
6,oracle_birth,96,22,0,3.673753282100158,0.6896592233910509,2.7003086243366083,2.3935677693908453,3.620981630163427,3.699856859882829,0.2604166666666667,0.11458333333333333,0.14583333333333334,2,2,0,0.0,0.0697686499916017
7,fixed_broad_birth,96,225,0,4.815131699632656,0.8886281289009114,3.4610932762158644,3.227486121839514,4.088372027013704,5.140121303196728,0.4270833333333333,0.20833333333333334,0.23958333333333334,0,0,0,nan,0.15461025899276137
7,measurement_driven_birth,96,561,0,4.953182164989664,0.7587359397302598,4.448782605013046,2.041241452319315,4.3963630083251335,5.209320156111806,0.4583333333333333,0.08333333333333333,0.3958333333333333,0,0,0,nan,0.17267337208613753
7,dp_immediate,96,34,0,5.210486595846038,0.7659442313192428,4.732423621500228,2.041241452319315,4.72816211584979,5.435622995697757,0.5104166666666666,0.08333333333333333,0.4479166666666667,11,5,3,2.6080932734695033,0.21308243414387107
7,dp_delayed_append,96,88,17,4.7666752648982245,0.9198875371438404,4.018187817080398,2.3935677693908453,4.076929089581116,5.076525802234486,0.4166666666666667,0.11458333333333333,0.3229166666666667,17,0,0,1.1927224702808228,0.21908894274383783
7,dp_delayed_recluster,96,88,15,4.709097550313721,0.9063294498713026,3.952847075210474,2.3935677693908453,4.076929089581116,4.9952701835656175,0.40625,0.11458333333333333,0.3125,6,2,0,2.0489548310290835,0.1551402690820396
7,oracle_birth,96,21,0,3.8838863172973332,0.7079827627535213,3.307189138830738,1.9094065395649333,3.5963937040081606,4.019929794339622,0.2916666666666667,0.07291666666666667,0.21875,2,2,0,0.0,0.07132782507687807
8,fixed_broad_birth,96,252,0,5.011466156541682,0.7972617960845686,3.307189138830738,3.679900360969936,4.754503252910775,5.1351279405945105,0.40625,0.2708333333333333,0.21875,0,0,0,nan,0.16964996699243784
8,measurement_driven_birth,96,620,0,4.899348642830477,0.7524075517994443,4.269562819149833,2.282177322938192,4.742380455922261,4.975976235036752,0.4270833333333333,0.10416666666666667,0.3645833333333333,0,0,0,nan,0.179754382930696
8,dp_immediate,96,29,0,7.058549256858913,0.5864733112741308,6.73145600891813,2.041241452319315,6.877059455609776,7.14756623189036,0.84375,0.08333333333333333,0.90625,10,4,3,8.586078999056134,0.21803270932286978
8,dp_delayed_append,96,79,15,4.147909478518795,0.7338163089761607,3.227486121839514,2.5,4.216460398401362,4.11320561330644,0.25,0.125,0.20833333333333334,15,0,0,0.5084000300773724,0.253340357914567
8,dp_delayed_recluster,96,78,15,4.504452187566478,0.7059906822372047,3.75,2.3935677693908453,4.216460398401362,4.641752375931437,0.3125,0.11458333333333333,0.28125,5,2,0,1.1287821528286723,0.18419998604804277
8,oracle_birth,96,24,0,3.949990394425479,0.7058735363979045,3.1457643480294792,2.282177322938192,4.029808700991938,3.9094701803166574,0.2604166666666667,0.10416666666666667,0.19791666666666666,2,2,0,0.0,0.09291198430582881
