seed,tracker,scans,total_births,total_confirmed_births,rms_gospa,rms_localization,rms_missed,rms_false,early_rms_gospa,late_rms_gospa,mean_cardinality_error,mean_false_targets,mean_missed_targets,final_birth_atoms,recurrent_birth_atoms,spurious_birth_atoms,birth_region_error,runtime_seconds
100,fixed_broad_birth,96,231,0,5.162762367071037,0.7825909481831955,3.0618621784789726,4.08248290463863,5.8003725966533715,4.812381090298619,0.4166666666666667,0.3333333333333333,0.1875,0,0,0,nan,0.11701368493959308
100,measurement_driven_birth,96,561,0,4.841548824606047,0.7238289538126553,3.952847075210474,2.7003086243366083,5.074899087671458,4.720549984540147,0.4166666666666667,0.14583333333333334,0.3125,0,0,0,nan,0.12709922017529607
100,dp_immediate,96,33,0,5.366629613194812,0.8220178861919567,4.621056877670591,2.6020824993326657,5.36768953891185,5.366099571826578,0.5,0.13541666666666666,0.4270833333333333,9,6,4,1.534285158694839,0.13376891193911433
100,dp_delayed_append,96,85,17,4.763423347880178,0.9028853698726149,3.608439182435161,2.9755951785595207,4.927884961079022,4.67902531430218,0.375,0.17708333333333334,0.2604166666666667,17,0,0,0.7829465863645038,0.16070747980847955
100,dp_delayed_recluster,96,85,17,4.762873984130701,0.8999825491136265,3.608439182435161,2.9755951785595207,4.927884961079022,4.67818637810094,0.375,0.17708333333333334,0.2604166666666667,9,3,0,0.9916702046697392,0.13128770887851715
100,oracle_birth,96,27,0,3.8780754601003444,0.6753783686935538,2.7003086243366083,2.7003086243366083,4.402327317533357,3.5873334116023465,0.25,0.14583333333333334,0.14583333333333334,2,2,0,0.0,0.059835467021912336
101,fixed_broad_birth,96,209,0,4.970210702119444,0.8629374775320215,3.227486121839514,3.679900360969936,4.264253685569071,5.287963869746965,0.3958333333333333,0.2708333333333333,0.20833333333333334,0,0,0,nan,0.10822765016928315
101,measurement_driven_birth,96,555,0,4.904567040858682,0.78567032416739,4.018187817080398,2.7003086243366083,4.772252531772162,4.969403351903831,0.4479166666666667,0.14583333333333334,0.3229166666666667,0,0,0,nan,0.1221898840740323
101,dp_immediate,96,31,0,6.843817757121119,0.6954673436040547,6.454972243679028,2.165063509461097,6.549257856794983,6.986442084611745,0.78125,0.09375,0.8333333333333334,11,5,4,5.485646310709807,0.1379556581377983
101,dp_delayed_append,96,94,14,4.8743852087809465,0.9181309802614245,3.886407938787006,2.7950849718747373,4.251470451960076,5.15770746004743,0.4375,0.15625,0.3020833333333333,14,0,0,0.9032732335381594,0.13969972915947437
