seed,alpha,rms_gospa,rms_missed,rms_false,final_birth_atoms,spurious_birth_atoms,birth_region_error
9,20.0,5.360379987531858,4.14578098794425,3.307189138830738,14,1,1.4895480352170627
10,1.0,7.126795990117158,6.653633092779714,2.5,1,0,25.62360126078573
10,2.0,5.119705748357483,4.018187817080398,3.0618621784789726,2,0,2.4278663392104063
10,5.0,4.3363212250213365,2.9755951785595207,3.0618621784789726,2,0,1.0972235292254489
10,10.0,4.366808204059845,3.0618621784789726,2.9755951785595207,6,0,1.1118844030449984
10,20.0,4.601290436581461,3.0618621784789726,3.307189138830738,9,0,1.0303958149460841
11,1.0,7.6216966876395205,7.465197027987049,1.4433756729740645,1,0,25.53211399182306
11,2.0,6.088554651727789,5.636562191028617,2.165063509461097,2,1,3.8213676981206137
11,5.0,6.088554651727789,5.636562191028617,2.165063509461097,2,1,3.8213676981206137
11,10.0,4.883281725732936,4.018187817080398,2.6020824993326657,6,1,1.1506860815317488
11,20.0,4.861784440189971,3.75,2.7950849718747373,13,0,1.2647560668242717
12,1.0,6.940683796308441,6.653633092779714,1.9094065395649333,2,0,17.20224662056753
12,2.0,6.937317961970991,6.653633092779714,1.9094065395649333,2,0,17.257993155871272
12,5.0,3.7573582183622727,2.7003086243366083,2.5,3,0,1.297446336531718
12,10.0,3.959828377732362,2.7003086243366083,2.7950849718747373,6,0,1.297446336531718
12,20.0,4.27602706349728,2.7003086243366083,3.227486121839514,9,0,1.297446336531718
13,1.0,6.994733209606299,6.73145600891813,1.7677669529663689,2,0,25.497712897790628
13,2.0,6.294670846917857,5.863019699779287,2.165063509461097,3,0,1.0982752572391927
13,5.0,4.1020154744232595,3.1457643480294792,2.5,4,0,1.3619781805399032
13,10.0,4.520265386111682,3.38501600193165,2.886751345948129,6,0,1.256996533709942
13,20.0,4.91447460080018,3.5355339059327378,3.307189138830738,12,0,1.3459707725228593
14,1.0,7.2106120567307075,7.034142923389221,1.4433756729740645,1,0,25.495750580717317
14,2.0,5.748941492067125,5.153882032022076,2.282177322938192,2,1,2.8460729768055852
14,5.0,4.243896050948589,3.4610932762158644,2.282177322938192,5,0,1.3720660963027602
14,10.0,4.7111700561569325,3.8188130791298667,2.6020824993326657,7,0,2.0087931739504943
14,20.0,5.083623094540114,3.75,3.307189138830738,13,0,2.0087931739504943
15,1.0,6.874864168705505,6.653633092779714,1.613743060919757,1,0,25.537797852036604
15,2.0,5.221484005820574,4.732423621500228,2.041241452319315,3,1,3.674218742220056
15,5.0,5.417181475679434,4.732423621500228,2.5,5,1,3.674218742220056
15,10.0,4.336737727589208,3.307189138830738,2.7003086243366083,7,0,1.1934910513955128
15,20.0,4.513290830192046,3.307189138830738,2.9755951785595207,10,0,1.1934910513955128
16,1.0,7.455929234430897,7.0710678118654755,2.282177322938192,2,0,25.020395760491837
16,2.0,7.382872636658059,7.034142923389221,2.165063509461097,2,0,25.061706810516156
16,5.0,7.368102667410859,6.7700320038633,2.7950849718747373,8,2,6.458850900811315
16,10.0,5.32488284839276,4.14578098794425,3.227486121839514,8,0,1.959631573239676
16,20.0,5.314989366453088,3.8188130791298667,3.608439182435161,11,1,1.7893240711021061
17,1.0,6.999579277161737,6.73145600891813,1.7677669529663689,2,0,14.26508708001289
17,2.0,6.999579277161737,6.73145600891813,1.7677669529663689,2,0,14.26508708001289
17,5.0,5.299037232941455,4.564354645876384,2.5,5,1,3.256846826664566
17,10.0,4.191764677972094,3.1457643480294792,2.6020824993326657,6,0,1.8310473440111172
17,20.0,4.430599690354188,2.9755951785595207,3.1457643480294792,10,0,1.7663480247115326
18,1.0,7.025738864468891,6.7700320038633,1.7677669529663689,1,0,25.53572314384804
18,2.0,4.542772895676392,3.8188130791298667,2.282177322938192,3,0,2.743829996956407
18,5.0,5.271086659305141,4.677071733467427,2.282177322938192,3,0,1.4946841534196742
18,10.0,5.368986984205801,4.677071733467427,2.5,5,0,1.4946841534196742
18,20.0,4.653598526474036,3.608439182435161,2.7950849718747373,10,1,0.9989151109417814
19,1.0,7.017442147459393,6.7700320038633,1.7677669529663689,1,0,25.5088494338267
19,2.0,4.8705056198228025,4.14578098794425,2.3935677693908453,2,0,2.0406512083028536
19,5.0,4.278397768660437,3.4610932762158644,2.3935677693908453,2,0,1.4976569089478446
19,10.0,4.2140561437866655,3.307189138830738,2.5,3,0,1.5021980631806802
19,20.0,4.395539691890649,3.307189138830738,2.7950849718747373,6,0,1.5021980631806802
20,1.0,7.210772663900025,6.846531968814577,2.165063509461097,4,0,4.27240185978327
20,2.0,7.210772663900025,6.846531968814577,2.165063509461097,4,0,4.27240185978327
20,5.0,4.88164153890058,4.018187817080398,2.6020824993326657,6,0,1.7430550080196112
20,10.0,4.508973904937947,3.38501600193165,2.7950849718747373,8,0,1.4924021779013181
20,20.0,4.622865531717078,3.38501600193165,2.9755951785595207,11,0,1.1543799561417414
21,1.0,7.313948550382873,7.0710678118654755,1.7677669529663689,4,2,8.24159246949332
21,2.0,5.355358567447496,4.841229182759271,2.165063509461097,4,1,3.0447119568896475
21,5.0,4.559882521068273,3.952847075210474,2.165063509461097,3,0,1.7393421365616368
21,10.0,4.7281104688811935,3.952847075210474,2.5,4,0,1.7393421365616368
21,20.0,4.7360656508367605,3.608439182435161,2.886751345948129,10,0,1.5352886216950976
22,1.0,7.026193325475633,6.73145600891813,1.9094065395649333,2,0,24.06684797191928
22,2.0,4.96621107593578,4.14578098794425,2.6020824993326657,4,1,2.556493597794736
22,5.0,4.123923435481897,2.9755951785595207,2.7003086243366083,5,0,1.1858224619673372
22,10.0,4.545639179409123,2.9755951785595207,3.307189138830738,11,0,1.140922329849372
22,20.0,4.658809098476338,2.9755951785595207,3.4610932762158644,13,0,1.140922329849372
23,1.0,6.981595108905335,6.884463184107628,1.0206207261596576,1,0,25.501295664668568
23,2.0,4.360715221921739,3.8188130791298667,1.9094065395649333,2,0,2.0055338849505637
23,5.0,4.459618530716297,3.952847075210474,1.9094065395649333,4,0,1.7547986253382588
23,10.0,4.747946966765463,3.952847075210474,2.5,8,0,1.7547986253382588
23,20.0,4.530513443318745,3.4610932762158644,2.7950849718747373,11,0,1.657873164236145
24,1.0,6.908452206156955,6.653633092779714,1.7677669529663689,3,0,25.495466494698377
24,2.0,6.946045293408921,6.653633092779714,1.9094065395649333,3,0,25.495466494698377
24,5.0,4.285092785436083,3.1457643480294792,2.7950849718747373,4,0,1.0909213194032987
24,10.0,4.284813055849261,2.886751345948129,3.0618621784789726,6,0,1.1062584053170639
24,20.0,4.463420540748572,2.886751345948129,3.307189138830738,9,0,1.1062584053170639
25,1.0,6.954844615330252,6.808389432653413,1.25,3,0,11.280549178959578
25,2.0,6.954844615330252,6.808389432653413,1.25,3,0,11.280549178959578
25,5.0,4.627024481965259,3.952847075210474,2.041241452319315,10,1,1.213836454465673
25,10.0,3.9092715646558918,2.9755951785595207,2.3935677693908453,7,0,1.3625199456964383
25,20.0,3.983484875518941,2.7950849718747373,2.7003086243366083,9,0,1.506483946733087
26,1.0,6.91077044266864,6.692657668420421,1.613743060919757,2,0,24.855307981250235
26,2.0,4.1661890310246035,3.1457643480294792,2.6020824993326657,4,0,1.3860293608452903
26,5.0,4.106229973315913,2.886751345948129,2.7950849718747373,6,0,0.9905690302858384
26,10.0,4.29227499046345,2.886751345948129,3.0618621784789726,7,0,0.9905690302858384
26,20.0,4.528845225535049,2.9755951785595207,3.307189138830738,10,1,1.1130959566848218
27,1.0,7.1027314137000666,6.7700320038633,2.041241452319315,2,0,6.2533194346241645
27,2.0,7.1027314137000666,6.7700320038633,2.041241452319315,2,0,6.2533194346241645
27,5.0,4.416939658167779,3.4610932762158644,2.6020824993326657,3,0,1.7653250880347051
27,10.0,4.420611886767385,3.307189138830738,2.7950849718747373,6,0,1.0882621816584228
27,20.0,4.351686896504706,3.307189138830738,2.7003086243366083,6,0,1.0702401392080265
28,1.0,7.376038284918119,7.180703308172536,1.613743060919757,1,0,25.499124760788078
28,2.0,7.198576265596052,6.959705453537527,1.7677669529663689,3,0,15.106932165471383
28,5.0,7.341854914456982,6.959705453537527,2.282177322938192,5,0,13.34721684449477
28,10.0,4.898944497121618,4.018187817080398,2.7003086243366083,8,0,1.0512611912107725
28,20.0,5.107150919956401,4.018187817080398,3.0618621784789726,11,0,1.0512611912107725
29,1.0,7.456697706813267,7.252872993970504,1.613743060919757,1,0,25.49640694072237
29,2.0,5.641416153188557,4.841229182759271,2.7003086243366083,3,0,3.237875839621692
29,5.0,4.987360881665194,3.8188130791298667,3.0618621784789726,5,0,2.361303031041305
29,10.0,5.057114657288516,3.8188130791298667,3.1457643480294792,7,0,2.533402662400282
29,20.0,5.191313083570899,3.8188130791298667,3.38501600193165,11,0,1.8098012848793033
30,1.0,6.9779539757983455,6.73145600891813,1.7677669529663689,1,0,25.56199917214793
30,2.0,7.052198831217581,6.73145600891813,2.041241452319315,2,0,22.573740159260964
30,5.0,3.7629051155699322,2.7950849718747373,2.3935677693908453,4,0,1.220810076214235
30,10.0,4.0322131940430115,2.9755951785595207,2.6020824993326657,8,0,1.0590091500536412
30,20.0,4.52259074632835,3.0618621784789726,3.227486121839514,12,0,1.0680621116812639
31,1.0,7.43359447762824,7.180703308172536,1.7677669529663689,3,1,17.055723676427004
