seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
102,12,8,dp_delayed_recluster,3.599770587757529,2.5,2.5
102,16,6,fixed_broad_birth,4.057240921503583,2.7003086243366083,2.9755951785595207
102,16,6,measurement_driven_birth,3.7236319331093415,3.307189138830738,1.613743060919757
102,16,6,dp_delayed_recluster,3.645151254812866,2.7003086243366083,2.3935677693908453
103,6,16,fixed_broad_birth,5.214151347130445,3.75,3.4610932762158644
103,6,16,measurement_driven_birth,5.570306907468547,4.841229182759271,2.6020824993326657
103,6,16,dp_delayed_recluster,5.131243684613831,4.269562819149833,2.6020824993326657
103,8,12,fixed_broad_birth,4.954943461930767,2.886751345948129,3.952847075210474
103,8,12,measurement_driven_birth,4.562775222213532,3.679900360969936,2.6020824993326657
103,8,12,dp_delayed_recluster,4.402186762444007,2.9755951785595207,3.1457643480294792
103,12,8,fixed_broad_birth,4.907270489646316,3.1457643480294792,3.679900360969936
103,12,8,measurement_driven_birth,4.080612236724196,3.227486121839514,2.3935677693908453
103,12,8,dp_delayed_recluster,4.016786862493699,2.886751345948129,2.7003086243366083
103,16,6,fixed_broad_birth,4.311961194053006,2.165063509461097,3.679900360969936
103,16,6,measurement_driven_birth,3.496200367280429,2.886751345948129,1.9094065395649333
103,16,6,dp_delayed_recluster,3.6767152799694567,2.6020824993326657,2.5
104,6,16,fixed_broad_birth,5.302439291489677,4.14578098794425,3.1457643480294792
104,6,16,measurement_driven_birth,5.715512841049567,5.0,2.6020824993326657
104,6,16,dp_delayed_recluster,5.248841534066457,4.5069390943299865,2.5
104,8,12,fixed_broad_birth,4.620897927060366,2.9755951785595207,3.4610932762158644
104,8,12,measurement_driven_birth,4.552340593484283,3.75,2.5
104,8,12,dp_delayed_recluster,4.334932714309782,3.227486121839514,2.7950849718747373
104,12,8,fixed_broad_birth,4.254927429511851,2.6020824993326657,3.307189138830738
104,12,8,measurement_driven_birth,3.8038817204229995,3.227486121839514,1.9094065395649333
104,12,8,dp_delayed_recluster,3.6139158242250002,2.6020824993326657,2.3935677693908453
104,16,6,fixed_broad_birth,4.010536280429281,2.5,3.0618621784789726
104,16,6,measurement_driven_birth,3.2678743483278736,2.9755951785595207,1.25
104,16,6,dp_delayed_recluster,3.5088676721410947,2.6020824993326657,2.282177322938192
105,6,16,fixed_broad_birth,5.250025313573922,4.208127057650866,2.886751345948129
105,6,16,measurement_driven_birth,5.699581088822934,5.0,2.5
105,6,16,dp_delayed_recluster,4.701070603004476,3.952847075210474,2.282177322938192
105,8,12,fixed_broad_birth,5.044049394347602,3.5355339059327378,3.4610932762158644
105,8,12,measurement_driven_birth,5.010625832077109,4.14578098794425,2.7003086243366083
105,8,12,dp_delayed_recluster,4.648151118039752,3.4610932762158644,2.9755951785595207
105,12,8,fixed_broad_birth,3.7019513451773753,2.6020824993326657,2.5
105,12,8,measurement_driven_birth,3.87955235714211,3.307189138830738,1.9094065395649333
105,12,8,dp_delayed_recluster,3.62431374820463,2.7003086243366083,2.282177322938192
105,16,6,fixed_broad_birth,3.7320962487200386,2.5,2.7003086243366083
105,16,6,measurement_driven_birth,3.26424579040447,2.886751345948129,1.4433756729740645
105,16,6,dp_delayed_recluster,3.302192814747535,2.3935677693908453,2.165063509461097
106,6,16,fixed_broad_birth,5.595742478529505,4.08248290463863,3.4610932762158644
106,6,16,measurement_driven_birth,5.667388475865638,4.7871355387816905,2.6020824993326657
106,6,16,dp_delayed_recluster,5.275789374973003,4.08248290463863,2.886751345948129
106,8,12,fixed_broad_birth,5.106059160577281,3.4610932762158644,3.5355339059327378
106,8,12,measurement_driven_birth,5.256768900916965,4.269562819149833,2.9755951785595207
106,8,12,dp_delayed_recluster,4.620068732248932,3.0618621784789726,3.227486121839514
106,12,8,fixed_broad_birth,4.2023121741874165,2.282177322938192,3.38501600193165
106,12,8,measurement_driven_birth,3.873627721931494,3.227486121839514,2.041241452319315
106,12,8,dp_delayed_recluster,3.6675656848139115,2.5,2.6020824993326657
106,16,6,fixed_broad_birth,3.6580692321933928,2.3935677693908453,2.7003086243366083
106,16,6,measurement_driven_birth,3.5017046562070746,2.7950849718747373,2.041241452319315
106,16,6,dp_delayed_recluster,3.4318583711981194,2.6020824993326657,2.165063509461097
107,6,16,fixed_broad_birth,5.340608396284986,4.08248290463863,3.307189138830738
107,6,16,measurement_driven_birth,5.8800954114196875,5.204164998665331,2.6020824993326657
107,6,16,dp_delayed_recluster,5.298382924543702,4.14578098794425,3.1457643480294792
107,8,12,fixed_broad_birth,5.2575413954326145,3.75,3.608439182435161
107,8,12,measurement_driven_birth,4.943782793558383,4.269562819149833,2.3935677693908453
107,8,12,dp_delayed_recluster,5.213493352059651,4.5069390943299865,2.5
107,12,8,fixed_broad_birth,3.8911999518526015,2.3935677693908453,2.9755951785595207
107,12,8,measurement_driven_birth,3.8156227199289647,2.9755951785595207,2.282177322938192
107,12,8,dp_delayed_recluster,3.4662647689747748,2.5,2.282177322938192
107,16,6,fixed_broad_birth,4.650010918930393,3.0618621784789726,3.227486121839514
107,16,6,measurement_driven_birth,3.983766251130195,3.38501600193165,2.041241452319315
107,16,6,dp_delayed_recluster,3.7865470674476667,2.7950849718747373,2.5
108,6,16,fixed_broad_birth,5.4490915098909385,3.8188130791298667,3.38501600193165
108,6,16,measurement_driven_birth,5.859407657109241,4.894725051862804,2.9755951785595207
108,6,16,dp_delayed_recluster,5.387981469186354,4.389855730355308,2.9755951785595207
108,8,12,fixed_broad_birth,4.477654460171907,2.9755951785595207,3.227486121839514
108,8,12,measurement_driven_birth,4.229994102866339,3.608439182435161,2.041241452319315
108,8,12,dp_delayed_recluster,4.1981794037710065,3.1457643480294792,2.6020824993326657
108,12,8,fixed_broad_birth,4.932741298684553,3.75,3.1457643480294792
108,12,8,measurement_driven_birth,4.6588045101168385,4.208127057650866,1.9094065395649333
108,12,8,dp_delayed_recluster,4.383344687890831,3.5355339059327378,2.5
