seed,spawn_interval,birth_events,tracker,rms_gospa,rms_missed,rms_false
25,16,6,dp_delayed_recluster,4.2414633625467415,3.38501600193165,2.5
26,6,16,fixed_broad_birth,4.927357134311145,3.307189138830738,3.5355339059327378
26,6,16,measurement_driven_birth,4.965225009873494,4.330127018922194,2.282177322938192
26,6,16,dp_delayed_recluster,4.303774066056698,3.1457643480294792,2.7950849718747373
26,8,12,fixed_broad_birth,5.16507749102314,3.1457643480294792,4.018187817080398
26,8,12,measurement_driven_birth,4.736822381903671,3.75,2.7950849718747373
26,8,12,dp_delayed_recluster,4.29227499046345,2.886751345948129,3.0618621784789726
26,12,8,fixed_broad_birth,4.661847218053492,3.0618621784789726,3.38501600193165
26,12,8,measurement_driven_birth,4.373469304231913,3.75,2.165063509461097
26,12,8,dp_delayed_recluster,3.4634440707406693,2.5,2.282177322938192
26,16,6,fixed_broad_birth,3.720446853862087,2.165063509461097,2.886751345948129
26,16,6,measurement_driven_birth,3.345116527743815,2.7950849718747373,1.7677669529663689
26,16,6,dp_delayed_recluster,3.4983364767441545,2.3935677693908453,2.5
27,6,16,fixed_broad_birth,4.928530567888773,3.0618621784789726,3.75
27,6,16,measurement_driven_birth,4.9175021892986885,4.018187817080398,2.7003086243366083
27,6,16,dp_delayed_recluster,4.588886531968668,3.307189138830738,2.9755951785595207
27,8,12,fixed_broad_birth,4.8688796304990065,3.227486121839514,3.5355339059327378
27,8,12,measurement_driven_birth,4.676942237572844,4.018187817080398,2.282177322938192
27,8,12,dp_delayed_recluster,4.420611886767385,3.307189138830738,2.7950849718747373
27,12,8,fixed_broad_birth,4.062951613797537,2.282177322938192,3.307189138830738
27,12,8,measurement_driven_birth,3.7219454392667277,3.0618621784789726,2.041241452319315
27,12,8,dp_delayed_recluster,3.2841034452690825,2.282177322938192,2.282177322938192
27,16,6,fixed_broad_birth,4.121324162715555,2.165063509461097,3.4610932762158644
27,16,6,measurement_driven_birth,3.644283183519336,2.9755951785595207,2.041241452319315
27,16,6,dp_delayed_recluster,3.720052250138384,2.3935677693908453,2.7950849718747373
28,6,16,fixed_broad_birth,5.773763513067789,3.886407938787006,4.14578098794425
28,6,16,measurement_driven_birth,5.51467860841941,4.732423621500228,2.7003086243366083
28,6,16,dp_delayed_recluster,5.847571097050871,4.677071733467427,3.38501600193165
28,8,12,fixed_broad_birth,5.261852888863734,3.75,3.608439182435161
28,8,12,measurement_driven_birth,5.154545025852517,4.5069390943299865,2.3935677693908453
28,8,12,dp_delayed_recluster,4.898944497121618,4.018187817080398,2.7003086243366083
28,12,8,fixed_broad_birth,4.669999739896252,3.307189138830738,3.227486121839514
28,12,8,measurement_driven_birth,4.718884886819334,4.208127057650866,2.041241452319315
28,12,8,dp_delayed_recluster,4.324403847031547,3.679900360969936,2.165063509461097
28,16,6,fixed_broad_birth,4.199307378598143,2.6020824993326657,3.227486121839514
28,16,6,measurement_driven_birth,3.9377170965522907,3.307189138830738,2.041241452319315
28,16,6,dp_delayed_recluster,3.813938905012367,2.6020824993326657,2.7003086243366083
29,6,16,fixed_broad_birth,5.068382166580776,3.886407938787006,3.1457643480294792
29,6,16,measurement_driven_birth,5.36056949314968,4.732423621500228,2.3935677693908453
29,6,16,dp_delayed_recluster,5.144901875286672,4.330127018922194,2.6020824993326657
29,8,12,fixed_broad_birth,5.390108584797718,3.679900360969936,3.8188130791298667
29,8,12,measurement_driven_birth,5.353829271380923,4.564354645876384,2.7003086243366083
29,8,12,dp_delayed_recluster,5.057114657288516,3.8188130791298667,3.1457643480294792
29,12,8,fixed_broad_birth,4.615508706210913,2.7003086243366083,3.679900360969936
29,12,8,measurement_driven_birth,3.7335840697910063,3.1457643480294792,1.9094065395649333
29,12,8,dp_delayed_recluster,4.279197232104862,3.38501600193165,2.5
29,16,6,fixed_broad_birth,4.059934379711791,1.9094065395649333,3.4610932762158644
29,16,6,measurement_driven_birth,3.1126424616830906,2.5,1.7677669529663689
29,16,6,dp_delayed_recluster,3.5160425442342333,2.041241452319315,2.7003086243366083
30,6,16,fixed_broad_birth,5.300548641084537,3.608439182435161,3.75
30,6,16,measurement_driven_birth,5.477150586859547,4.677071733467427,2.7003086243366083
30,6,16,dp_delayed_recluster,5.0561722993525455,3.886407938787006,3.0618621784789726
30,8,12,fixed_broad_birth,4.960177702135649,3.227486121839514,3.679900360969936
30,8,12,measurement_driven_birth,4.724645307685448,4.08248290463863,2.282177322938192
30,8,12,dp_delayed_recluster,4.0322131940430115,2.9755951785595207,2.6020824993326657
30,12,8,fixed_broad_birth,4.224686398184279,2.886751345948129,2.9755951785595207
30,12,8,measurement_driven_birth,4.182186144140664,3.679900360969936,1.9094065395649333
30,12,8,dp_delayed_recluster,3.8941569968421503,2.9755951785595207,2.3935677693908453
30,16,6,fixed_broad_birth,4.5785219599394384,2.3935677693908453,3.75
30,16,6,measurement_driven_birth,3.4861199953709194,2.9755951785595207,1.7677669529663689
30,16,6,dp_delayed_recluster,3.859178245790798,2.6020824993326657,2.7950849718747373
31,6,16,fixed_broad_birth,5.352729164470467,3.608439182435161,3.8188130791298667
31,6,16,measurement_driven_birth,5.199216170402266,4.330127018922194,2.7003086243366083
31,6,16,dp_delayed_recluster,4.625075149351088,3.38501600193165,2.9755951785595207
31,8,12,fixed_broad_birth,5.200924829020864,3.4610932762158644,3.75
31,8,12,measurement_driven_birth,5.225443847450136,4.208127057650866,2.9755951785595207
31,8,12,dp_delayed_recluster,5.369451543423691,4.330127018922194,2.9755951785595207
31,12,8,fixed_broad_birth,4.326930679476857,2.9755951785595207,3.0618621784789726
31,12,8,measurement_driven_birth,3.947889725916069,3.38501600193165,1.9094065395649333
31,12,8,dp_delayed_recluster,3.4633782476585977,2.7003086243366083,2.041241452319315
31,16,6,fixed_broad_birth,4.250118951299452,2.5,3.38501600193165
31,16,6,measurement_driven_birth,3.4297693039886785,2.7950849718747373,1.9094065395649333
31,16,6,dp_delayed_recluster,3.81802148635172,2.9755951785595207,2.282177322938192
32,6,16,fixed_broad_birth,5.416958894304717,3.75,3.679900360969936
32,6,16,measurement_driven_birth,5.642486927645894,4.677071733467427,2.886751345948129
32,6,16,dp_delayed_recluster,5.078358014784259,4.14578098794425,2.6020824993326657
32,8,12,fixed_broad_birth,5.262553813062445,3.679900360969936,3.679900360969936
32,8,12,measurement_driven_birth,5.158668983982077,4.389855730355308,2.6020824993326657
32,8,12,dp_delayed_recluster,5.5090508920488155,4.5069390943299865,3.0618621784789726
32,12,8,fixed_broad_birth,4.671387124160154,3.0618621784789726,3.4610932762158644
32,12,8,measurement_driven_birth,4.541834189568825,3.886407938787006,2.282177322938192
32,12,8,dp_delayed_recluster,3.896855759589639,2.9755951785595207,2.3935677693908453
